USA_Slope,HeatLoad,Cons_LITH,Rad_sm,B_TD,MCMT,MAP,PRATIO,DEP2RES,aws0_100,soc0_5,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP,W_ShadeTol,W_DroughtTol
19.0,914.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
20.0,917.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
22.0,911.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
22.0,910.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
25.0,886.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
27.0,903.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
26.0,911.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
28.0,886.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
31.0,916.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
33.0,864.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
33.0,882.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
30.0,920.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1051.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
12.0,1055.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
18.0,1026.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
3.0,1063.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
5.0,1050.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1044.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1059.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1055.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1046.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1045.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
